signal,version,IS_n,IS_mean,IS_t,IS_sr,OOS_n,OOS_mean,OOS_t,OOS_sr,POST_n,POST_mean,POST_t,POST_sr,P2015_n,P2015_mean,P2015_t,P2015_sr,IS_skew,IS_worst,IS_worst_z,IS_maxdd_pp,Year,SampleStartYear,SampleEndYear,Cat.Data,Cat.Economic,mech,mech_reason,data_src,Portfolio Period,Stock Weight,Return,T-Stat,Predictability in OP,LongDescription,q5_ew__IS_mean,q5_ew__IS_t,q5_ew__IS_sr,q5_ew__OOS_mean,q5_ew__OOS_t,q5_ew__OOS_sr,q5_ew__POST_mean,q5_ew__POST_t,q5_ew__POST_sr,q5_ew__P2015_mean,q5_ew__P2015_t,q5_ew__P2015_sr,q5_vw__IS_mean,q5_vw__IS_t,q5_vw__IS_sr,q5_vw__OOS_mean,q5_vw__OOS_t,q5_vw__OOS_sr,q5_vw__POST_mean,q5_vw__POST_t,q5_vw__POST_sr,q5_vw__P2015_mean,q5_vw__P2015_t,q5_vw__P2015_sr,me_gt_nyse20__IS_mean,me_gt_nyse20__IS_t,me_gt_nyse20__IS_sr,me_gt_nyse20__OOS_mean,me_gt_nyse20__OOS_t,me_gt_nyse20__OOS_sr,me_gt_nyse20__POST_mean,me_gt_nyse20__POST_t,me_gt_nyse20__POST_sr,me_gt_nyse20__P2015_mean,me_gt_nyse20__P2015_t,me_gt_nyse20__P2015_sr,nyse_only__IS_mean,nyse_only__IS_t,nyse_only__IS_sr,nyse_only__OOS_mean,nyse_only__OOS_t,nyse_only__OOS_sr,nyse_only__POST_mean,nyse_only__POST_t,nyse_only__POST_sr,nyse_only__P2015_mean,nyse_only__P2015_t,nyse_only__P2015_sr,op_OOS_ratio,op_POST_ratio,op_P2015_ratio,q5_ew_OOS_ratio,q5_ew_POST_ratio,q5_ew_P2015_ratio,q5_vw_OOS_ratio,q5_vw_POST_ratio,q5_vw_P2015_ratio,me_gt_nyse20_OOS_ratio,me_gt_nyse20_POST_ratio,me_gt_nyse20_P2015_ratio,smallcap_share_screen,smallcap_share_vw,monthly_rebal,op_OOS_ratio_c,op_POST_ratio_c,op_P2015_ratio_c,q5_ew_OOS_ratio_c,q5_ew_POST_ratio_c,q5_ew_P2015_ratio_c,q5_vw_OOS_ratio_c,q5_vw_POST_ratio_c,q5_vw_P2015_ratio_c,me_gt_nyse20_OOS_ratio_c,me_gt_nyse20_POST_ratio_c,me_gt_nyse20_P2015_ratio_c,alive_2015,alive_2015_big,sc_terc,skew_terc,pub_era
IntMom,op,1008,1.2409,5.9091,0.6447,24,1.3151,1.2276,0.8681,144,0.6754,1.0539,0.3042,120,0.7407,0.9785,0.3094,-2.7206,-83.2193,-12.6676,-115.2266,2012,1927,2010,Price,momentum,M4,rule: Cat.Economic=momentum,price,1.0000,VW,1.2000,5.7900,1_clear,Intermediate Momentum,0.7454,4.3692,0.4767,0.8048,0.7254,0.5129,-0.1861,-0.3664,-0.1058,-0.3098,-0.5186,-0.1640,0.7454,4.3692,0.4767,0.8048,0.7254,0.5129,-0.1861,-0.3664,-0.1058,-0.3098,-0.5186,-0.1640,0.9357,4.9224,0.5371,0.6299,0.4957,0.3505,0.0106,0.0185,0.0053,-0.0833,-0.1237,-0.0391,0.9641,4.8711,0.5315,1.2279,0.8424,0.5956,0.1976,0.3355,0.0969,-0.0679,-0.0985,-0.0311,1.0598,0.5443,0.5969,1.0797,-0.2496,-0.4156,1.0797,-0.2496,-0.4156,0.6732,0.0113,-0.0891,0.2460,0.0000,1,1.0598,0.5443,0.5969,1.0797,-0.2496,-0.4156,1.0797,-0.2496,-0.4156,0.6732,0.0113,-0.0891,0,0,mid,neg skew,2011-2016
Investment,op,288,0.2574,2.2887,0.4672,96,-0.0090,-0.0220,-0.0078,240,0.0743,0.4203,0.0940,120,0.1094,0.4005,0.1267,-0.0923,-5.6477,-3.0940,-31.0035,2004,1973,1996,Accounting,investment,M6,rule: Cat.Economic=investment,accounting,12.0000,VW,0.1683,2.8600,1_clear,Investment to revenue,0.2574,2.2887,0.4672,-0.0090,-0.0220,-0.0078,0.0743,0.4203,0.0940,0.1094,0.4005,0.1267,0.2574,2.2887,0.4672,-0.0090,-0.0220,-0.0078,0.0743,0.4203,0.0940,0.1094,0.4005,0.1267,0.2743,2.4936,0.5090,-0.0786,-0.2049,-0.0725,-0.0473,-0.2938,-0.0657,-0.0737,-0.2967,-0.0938,0.2350,1.9788,0.4039,-0.0067,-0.0239,-0.0084,-0.0896,-0.6008,-0.1343,-0.1031,-0.4764,-0.1507,-0.0348,0.2888,0.4250,-0.0348,0.2888,0.4250,-0.0348,0.2888,0.4250,-0.2867,-0.1725,-0.2686,-0.0657,0.0000,0,-0.0348,0.2888,0.4250,-0.0348,0.2888,0.4250,-0.0348,0.2888,0.4250,-0.2867,-0.1725,-0.2686,0,0,low (big-cap ok),mid,1996-2005
InvestPPEInv,op,432,0.7968,7.8732,1.3122,36,-0.4065,-1.6169,-0.9335,192,0.2172,1.9702,0.4926,120,0.0392,0.2782,0.0880,0.7860,-7.1103,-3.7591,-13.9014,2008,1970,2005,Accounting,investment,M6,rule: Cat.Economic=investment,accounting,1.0000,EW,0.5700,7.1300,1_clear,change in ppe and inv/assets,0.9930,8.2334,1.3722,-0.2185,-0.6860,-0.3961,0.3832,2.7955,0.6989,0.2593,1.4696,0.4647,0.5231,4.0946,0.6824,-0.1267,-0.2218,-0.1280,-0.1147,-0.4964,-0.1241,-0.2878,-0.8796,-0.2782,0.4562,4.9928,0.8321,-0.1247,-0.3035,-0.1752,0.0702,0.5980,0.1495,-0.0558,-0.3864,-0.1222,0.3377,3.7469,0.6245,-0.5458,-1.2903,-0.7449,0.0993,0.7001,0.1750,-0.1008,-0.6105,-0.1931,-0.5102,0.2726,0.0491,-0.2200,0.3859,0.2612,-0.2422,-0.2192,-0.5502,-0.2734,0.1539,-0.1224,0.4275,0.4732,1,-0.5102,0.2726,0.0491,-0.2200,0.3859,0.2612,-0.2422,-0.2192,-0.5502,-0.2734,0.1539,-0.1224,0,0,high (microcap),pos skew,2006-2010
InvGrowth,op,540,0.8608,7.4663,1.1130,36,0.1340,0.4374,0.2525,144,0.4456,1.8869,0.5447,120,0.5523,2.0500,0.6483,0.6200,-9.3351,-3.8056,-37.1716,2012,1965,2009,Accounting,profitability,M6,rule: Cat.Economic=profitability,accounting,12.0000,EW,0.8900,6.6400,1_clear,Inventory Growth,0.6484,7.4747,1.1143,0.1170,0.5028,0.2903,0.2874,1.7678,0.5103,0.3400,1.8384,0.5814,0.4096,3.0261,0.4511,-0.1340,-0.2652,-0.1531,-0.2300,-0.9210,-0.2659,-0.1058,-0.3731,-0.1180,0.5068,4.5223,0.6741,0.4974,1.3238,0.7643,0.0881,0.4256,0.1229,0.0923,0.3901,0.1234,0.4252,3.4884,0.5200,0.2314,0.4947,0.2856,-0.2680,-1.1988,-0.3461,-0.3159,-1.2272,-0.3881,0.1556,0.5176,0.6416,0.1804,0.4433,0.5243,-0.3272,-0.5616,-0.2583,0.9815,0.1739,0.1821,0.4113,0.3682,0,0.1556,0.5176,0.6416,0.1804,0.4433,0.5243,-0.3272,-0.5616,-0.2583,0.9815,0.1739,0.1821,1,0,high (microcap),pos skew,2011-2016
iomom_cust,op,239,0.4223,1.6614,0.3723,60,0.6064,1.9248,0.8608,168,0.0491,0.1889,0.0505,120,-0.1803,-0.5468,-0.1729,-0.2213,-26.1452,-6.7613,-42.6242,2010,1986,2005,Other,lead lag,M5,customer momentum,alt_other,1.0000,EW,,4.1100,2_likely,Customers momentum,0.4223,1.6614,0.3723,0.6064,1.9248,0.8608,0.0491,0.1889,0.0505,-0.1803,-0.5468,-0.1729,0.2442,1.0113,0.2266,0.5144,1.3752,0.6150,0.2602,1.2252,0.3274,0.2037,0.7786,0.2462,0.4393,1.5957,0.3575,0.5866,1.8300,0.8184,0.0714,0.3055,0.0816,-0.0681,-0.2315,-0.0732,0.2122,1.0586,0.2372,0.3057,0.6473,0.2895,0.1936,0.6528,0.1745,-0.0249,-0.0695,-0.0220,1.4361,0.1162,-0.4270,1.4361,0.1162,-0.4270,2.1066,1.0656,0.8342,1.3353,0.1626,-0.1550,-0.0404,0.4218,1,1.4361,0.1162,-0.4270,1.4361,0.1162,-0.4270,2.1066,1.0656,0.8342,1.3353,0.1626,-0.1550,0,0,low (big-cap ok),neg skew,2006-2010
iomom_supp,op,239,0.6633,3.1254,0.7003,60,0.0814,0.2659,0.1189,168,0.0535,0.2125,0.0568,120,-0.1334,-0.4115,-0.1301,-0.4796,-21.6025,-6.7869,-28.3408,2010,1986,2005,Other,lead lag,M5,supplier momentum,alt_other,1.0000,EW,,5.0300,2_likely,Suppliers momentum,0.6633,3.1254,0.7003,0.0814,0.2659,0.1189,0.0535,0.2125,0.0568,-0.1334,-0.4115,-0.1301,0.4202,1.5980,0.3581,0.0100,0.0199,0.0089,0.3653,1.4499,0.3875,0.3326,1.0443,0.3303,0.5543,2.2938,0.5140,-0.0832,-0.2179,-0.0974,0.1571,0.6729,0.1798,-0.0199,-0.0682,-0.0216,0.3623,1.7303,0.3877,-0.1693,-0.3772,-0.1687,0.1311,0.4375,0.1169,-0.0770,-0.2021,-0.0639,0.1228,0.0806,-0.2011,0.1228,0.0806,-0.2011,0.0238,0.8694,0.7915,-0.1501,0.2834,-0.0358,0.1643,0.3665,1,0.1228,0.0806,-0.2011,0.1228,0.0806,-0.2011,0.0238,0.8694,0.7915,-0.1501,0.2834,-0.0358,0,0,mid,neg skew,2006-2010
Leverage,op,360,0.3551,2.6179,0.4780,84,1.1065,4.0452,1.5290,432,0.3232,1.2623,0.2104,120,0.3273,0.7245,0.2291,0.8669,-9.5147,-3.8347,-42.7567,1988,1952,1981,Accounting,leverage,M6,rule: Cat.Economic=leverage,accounting,12.0000,EW,,3.9300,1_clear,Market leverage,0.3551,2.6179,0.4780,1.1065,4.0452,1.5290,0.3232,1.2623,0.2104,0.3273,0.7245,0.2291,0.2929,1.9184,0.3502,0.7411,2.0221,0.7643,-0.0461,-0.1758,-0.0293,-0.3082,-0.5647,-0.1786,0.2053,1.5111,0.2759,0.7637,2.0115,0.7603,0.3744,1.3716,0.2286,0.4093,0.8846,0.2797,0.4079,2.6917,0.4914,0.2090,0.7446,0.2814,0.1689,0.7851,0.1308,0.4092,0.8452,0.2673,3.1157,0.9100,0.9215,3.1157,0.9100,0.9215,2.5301,-0.1575,-1.0523,3.7210,1.8239,1.9940,0.4220,0.1752,0,2.5000,0.9100,0.9215,2.5000,0.9100,0.9215,2.5000,-0.1575,-1.0523,2.5000,1.8239,1.9940,0,0,high (microcap),pos skew,<=1995
LRreversal,op,648,0.7845,3.0322,0.4126,36,-1.0291,-1.6625,-0.9598,468,0.4772,2.0067,0.3213,120,-0.2711,-0.5515,-0.1744,5.3793,-22.4186,-3.5230,-43.1231,1985,1929,1982,Price,long term reversal,M6,rule: Cat.Economic=long term reversal,price,1.0000,EW,0.1050,3.2900,1_clear,Long-run reversal,0.7845,3.0322,0.4126,-1.0291,-1.6625,-0.9598,0.4772,2.0067,0.3213,-0.2711,-0.5515,-0.1744,0.3939,1.6895,0.2299,-0.3793,-0.5719,-0.3302,0.2464,0.9577,0.1534,0.1199,0.1999,0.0632,0.3534,1.8377,0.2501,-0.1261,-0.3137,-0.1811,0.3029,1.7668,0.2829,0.0996,0.2666,0.0843,0.6871,2.6955,0.3668,-0.3017,-0.5894,-0.3403,0.0266,0.1188,0.0190,0.5245,0.9832,0.3109,-1.3117,0.6083,-0.3456,-1.3117,0.6083,-0.3456,-0.9628,0.6254,0.3043,-0.3567,0.8571,0.2818,0.5496,0.4979,1,-1.3117,0.6083,-0.3456,-1.3117,0.6083,-0.3456,-0.9628,0.6254,0.3043,-0.3567,0.8571,0.2818,0,0,high (microcap),pos skew,<=1995
MaxRet,op,528,0.8861,2.7429,0.4135,72,0.3765,0.4050,0.1653,156,0.1994,0.3789,0.1051,120,0.3749,0.5763,0.1822,-0.3401,-35.6241,-4.9182,-121.4008,2011,1962,2005,Price,volatility,M3,rule: Cat.Economic=volatility,price,1.0000,VW,1.0300,2.8300,1_clear,Maximum return over month,0.5430,1.9734,0.2975,0.3770,0.5112,0.2087,-0.1136,-0.2726,-0.0756,-0.1732,-0.3336,-0.1055,0.5430,1.9734,0.2975,0.3770,0.5112,0.2087,-0.1136,-0.2726,-0.0756,-0.1732,-0.3336,-0.1055,0.4295,1.4746,0.2223,0.2598,0.3114,0.1271,-0.0267,-0.0588,-0.0163,-0.0082,-0.0146,-0.0046,0.2963,1.2711,0.1916,0.4478,0.4694,0.1916,0.3326,0.6979,0.1936,0.3513,0.5977,0.1890,0.4249,0.2251,0.4231,0.6944,-0.2093,-0.3189,0.6944,-0.2093,-0.3189,0.6050,-0.0622,-0.0191,0.5153,0.0000,1,0.4249,0.2251,0.4231,0.6944,-0.2093,-0.3189,0.6944,-0.2093,-0.3189,0.6050,-0.0622,-0.0191,0,0,high (microcap),neg skew,2011-2016
MeanRankRevGrowth,op,276,0.5428,3.8552,0.8039,48,0.1110,0.3677,0.1838,360,0.0249,0.2460,0.0449,120,0.0162,0.0798,0.0252,0.1780,-7.7809,-3.5585,-23.2944,1994,1968,1990,Accounting,sales growth,M4,rule: Cat.Economic=sales growth,accounting,12.0000,EW,,,1_clear,Revenue Growth Rank,0.5428,3.8552,0.8039,0.1110,0.3677,0.1838,0.0249,0.2460,0.0449,0.0162,0.0798,0.0252,0.4706,2.7512,0.5737,-0.0928,-0.2036,-0.1018,0.0539,0.3935,0.0718,-0.0256,-0.1229,-0.0389,0.4140,3.1314,0.6529,-0.4494,-1.1579,-0.5789,-0.0799,-0.7443,-0.1359,0.0569,0.3591,0.1136,0.5935,4.4011,0.9177,-0.2276,-0.8056,-0.4028,0.0242,0.2282,0.0417,-0.0063,-0.0303,-0.0096,0.2045,0.0459,0.0298,0.2045,0.0459,0.0298,-0.1972,0.1145,-0.0544,-1.0855,-0.1931,0.1375,0.2373,0.1331,0,0.2045,0.0459,0.0298,0.2045,0.0459,0.0298,-0.1972,0.1145,-0.0544,-1.0855,-0.1931,0.1375,0,0,mid,mid,<=1995
Mom12m,op,312,1.3407,4.4809,0.8788,48,0.1020,0.1058,0.0529,372,0.8532,1.8524,0.3327,120,1.3438,1.8752,0.5930,-1.3823,-30.4047,-6.0067,-44.5209,1993,1964,1989,Price,momentum,M4,rule: Cat.Economic=momentum,price,3.0000,EW,1.3100,3.7400,1_clear,Momentum (12 month),1.1390,4.5473,0.8918,0.4398,0.6092,0.3046,0.6541,1.7891,0.3213,0.9860,1.7189,0.5436,1.3714,4.6391,0.9098,1.8242,2.3807,1.1903,0.4134,1.0676,0.1917,0.3472,0.5158,0.1631,1.4907,5.4459,1.0680,1.8363,3.0492,1.5246,0.6804,1.7618,0.3164,0.7673,1.4022,0.4434,1.3702,4.7176,0.9252,1.3503,1.0193,0.5096,1.0503,2.3747,0.4265,1.1476,1.3438,0.4249,0.0761,0.6364,1.0023,0.3861,0.5742,0.8656,1.3302,0.3014,0.2532,1.2318,0.4565,0.5147,-0.1119,-0.2040,0,0.0761,0.6364,1.0023,0.3861,0.5742,0.8656,1.3302,0.3014,0.2532,1.2318,0.4565,0.5147,1,0,low (big-cap ok),neg skew,<=1995
Mom12mOffSeason,op,456,1.3529,4.4853,0.7276,72,1.3784,2.0712,0.8456,192,0.8801,1.4043,0.3511,120,1.6463,2.1409,0.6770,-2.7551,-54.7980,-8.7179,-70.2227,2008,1965,2002,Price,other,M4,rule: other/Price,price,1.0000,EW,1.1700,4.2000,1_clear,Momentum without the seasonal part,1.0466,4.4377,0.7199,1.2600,2.5184,1.0281,0.6053,1.2878,0.3219,1.1927,2.1643,0.6844,0.8616,3.1730,0.5147,1.2697,1.9156,0.7821,0.3680,0.7786,0.1946,0.6759,1.1605,0.3670,1.5331,5.1776,0.8399,0.8599,1.4388,0.5874,0.6404,1.4233,0.3558,1.2354,2.3311,0.7372,1.3286,4.5334,0.7354,1.8040,2.3870,0.9745,0.9406,1.4770,0.3693,1.8046,2.2974,0.7265,1.0189,0.6505,1.2169,1.2039,0.5783,1.1396,1.4737,0.4271,0.7845,0.5609,0.4178,0.8058,-0.1332,0.1768,1,1.0189,0.6505,1.2169,1.2039,0.5783,1.1396,1.4737,0.4271,0.7845,0.5609,0.4178,0.8058,1,1,low (big-cap ok),neg skew,2006-2010
Mom6m,op,312,1.0167,3.5907,0.7042,48,-0.9158,-1.0385,-0.5193,372,1.0393,2.3718,0.4260,120,1.1334,1.7700,0.5597,-2.0740,-32.9457,-6.7907,-75.7162,1993,1964,1989,Price,momentum,M4,rule: Cat.Economic=momentum,price,3.0000,EW,0.8400,2.4400,1_clear,Momentum (6 month),0.8157,3.4428,0.6752,-0.4599,-0.6794,-0.3397,0.8393,2.4051,0.4320,1.0077,2.0504,0.6484,0.9490,3.6684,0.7194,-0.2888,-0.4214,-0.2107,0.5206,1.4724,0.2644,0.6216,1.1801,0.3732,1.1343,4.6160,0.9053,0.4564,0.7803,0.3902,1.0662,2.8162,0.5058,1.0104,2.1024,0.6648,0.9677,3.5245,0.6912,-0.7422,-0.5839,-0.2920,1.1972,3.1421,0.5643,1.6122,2.4451,0.7732,-0.9008,1.0222,1.1148,-0.5638,1.0289,1.2354,-0.3043,0.5486,0.6550,0.4024,0.9400,0.8908,-0.1157,-0.1634,0,-0.9008,1.0222,1.1148,-0.5638,1.0289,1.2354,-0.3043,0.5486,0.6550,0.4024,0.9400,0.8908,1,1,low (big-cap ok),neg skew,<=1995
Mom6mJunk,op,228,2.0904,4.2368,0.9720,48,2.3256,3.8635,1.9317,204,0.4534,0.8759,0.2124,120,1.0251,1.5674,0.4956,-1.0893,-43.5681,-6.1285,-43.9763,2007,1985,2003,Price,momentum,M4,rule: Cat.Economic=momentum,price,1.0000,EW,2.1200,4.2900,1_clear,Junk Stock Momentum,1.2166,3.2614,0.7482,1.4654,3.3696,1.6848,0.1791,0.4635,0.1124,0.7073,1.5455,0.4887,0.8940,2.0365,0.4672,0.9408,1.8905,0.9453,0.2696,0.6029,0.1462,0.9626,1.7399,0.5502,1.9673,3.5203,0.8076,2.4441,3.7707,1.8854,0.2993,0.5051,0.1225,1.0502,1.4860,0.4699,1.7018,2.8054,0.6436,2.9425,4.2322,2.1161,0.8008,1.0708,0.2597,1.6027,1.6471,0.5209,1.1125,0.2169,0.4904,1.2045,0.1472,0.5814,1.0523,0.3015,1.0767,1.2424,0.1521,0.5338,0.0589,0.2652,1,1.1125,0.2169,0.4904,1.2045,0.1472,0.5814,1.0523,0.3015,1.0767,1.2424,0.1521,0.5338,1,0,low (big-cap ok),neg skew,2006-2010
MomOffSeason,op,456,1.2328,4.8846,0.7924,72,0.1232,0.3295,0.1345,192,0.4156,0.9978,0.2494,120,0.4440,0.8021,0.2536,2.9243,-13.7908,-2.7877,-40.3248,2008,1965,2002,Price,other,M2,seasonality complement,price,1.0000,EW,1.2500,5.6000,1_clear,Off season long-term reversal,0.9258,4.6770,0.7587,-0.0458,-0.1758,-0.0718,0.3243,0.9670,0.2418,0.2911,0.6344,0.2006,0.7203,3.6576,0.5933,-0.3075,-0.6244,-0.2549,-0.1818,-0.5565,-0.1391,-0.1079,-0.2480,-0.0784,1.0860,5.4630,0.8862,0.0192,0.0714,0.0292,0.3509,1.1863,0.2966,0.3745,0.8912,0.2818,0.9423,3.8652,0.6270,-0.6096,-1.6988,-0.6935,0.3077,0.7017,0.1754,0.3050,0.5356,0.1694,0.0999,0.3371,0.3601,-0.0494,0.3503,0.3144,-0.4269,-0.2524,-0.1498,0.0177,0.3231,0.3448,0.1191,0.2219,1,0.0999,0.3371,0.3601,-0.0494,0.3503,0.3144,-0.4269,-0.2524,-0.1498,0.0177,0.3231,0.3448,0,0,low (big-cap ok),pos skew,2006-2010
MomOffSeason06YrPlus,op,456,0.6050,4.7615,0.7724,72,0.6176,2.5121,1.0256,192,0.5309,2.0767,0.5192,120,0.1457,0.3963,0.1253,0.2011,-11.0851,-4.3086,-32.3460,2008,1965,2002,Price,other,M2,seasonality complement,price,1.0000,EW,0.5500,4.6200,1_clear,Off season reversal years 6 to 10,0.5542,5.3926,0.8748,0.6129,3.1027,1.2667,0.6067,2.8837,0.7209,0.4164,1.3634,0.4312,0.3748,2.4486,0.3972,1.3002,3.1487,1.2855,0.5648,2.3989,0.5997,0.6505,2.2753,0.7195,0.3501,2.9998,0.4866,0.2186,0.8343,0.3406,0.2959,1.6887,0.4222,0.1259,0.4959,0.1568,0.4548,3.6478,0.5918,0.3608,1.4281,0.5830,0.6469,2.6559,0.6640,0.4385,1.2675,0.4008,1.0208,0.8776,0.2409,1.1058,1.0946,0.7513,3.4690,1.5068,1.7354,0.6242,0.8452,0.3596,0.4212,0.3237,1,1.0208,0.8776,0.2409,1.1058,1.0946,0.7513,2.5000,1.5068,1.7354,0.6242,0.8452,0.3596,0,0,high (microcap),mid,2006-2010
MomOffSeason16YrPlus,op,456,0.3496,2.8802,0.4672,72,0.3398,1.6457,0.6719,192,0.2208,1.0306,0.2576,120,0.3045,0.9923,0.3138,1.0946,-7.7915,-3.1411,-43.3162,2008,1965,2002,Price,other,M2,seasonality complement,price,1.0000,EW,0.3900,3.3500,1_clear,Off season reversal years 16 to 20,0.2655,2.6622,0.4319,0.4905,3.2807,1.3393,0.0390,0.2596,0.0649,0.0954,0.4365,0.1380,0.1152,0.8738,0.1418,0.4690,1.6116,0.6579,0.1200,0.6351,0.1588,0.0237,0.0993,0.0314,0.2516,2.3994,0.3892,0.3505,1.8463,0.7537,-0.0433,-0.2843,-0.0711,-0.0640,-0.2930,-0.0927,0.3559,2.8074,0.4554,0.1255,0.5944,0.2427,0.1400,0.7592,0.1898,0.0849,0.3294,0.1042,0.9719,0.6317,0.8710,1.8474,0.1470,0.3594,4.0726,1.0420,0.2057,1.3933,-0.1720,-0.2546,0.2803,0.5663,1,0.9719,0.6317,0.8710,1.8474,0.1470,0.3594,2.5000,1.0420,0.2057,1.3933,-0.1720,-0.2546,0,0,mid,pos skew,2006-2010
MomRev,op,444,1.1741,4.3592,0.7166,60,1.3045,1.8864,0.8436,216,0.0734,0.1671,0.0394,120,0.6225,0.9505,0.3006,-2.4858,-57.6954,-10.3729,-57.6954,2006,1965,2001,Price,momentum,M4,rule: Cat.Economic=momentum,price,3.0000,EW,0.4800,4.2900,1_clear,Momentum and LT Reversal,,,,,,,,,,,,,,,,,,,,,,,,,1.1944,4.0989,0.6739,0.9612,1.3804,0.6173,0.2127,0.4963,0.1170,1.0287,1.8368,0.5808,0.8768,3.3344,0.5482,1.2253,1.4780,0.6610,0.5590,1.0984,0.2589,1.7927,2.4991,0.7903,1.1111,0.0625,0.5302,,,,,,,0.8047,0.1781,0.8613,-0.0173,,0,1.1111,0.0625,0.5302,,,,,,,0.8047,0.1781,0.8613,0,1,low (big-cap ok),neg skew,2006-2010
MomSeason,op,456,0.8125,5.8389,0.9472,72,0.7060,2.4260,0.9904,192,-0.0636,-0.1996,-0.0499,120,-0.0875,-0.1921,-0.0607,0.7844,-7.5477,-2.8133,-38.5014,2008,1965,2002,Price,other,M2,"Heston-Sadka seasonality, attributed to recurring flows",price,1.0000,EW,0.6700,5.3500,1_clear,Return seasonality years 2 to 5,0.7200,6.4264,1.0425,0.5304,2.6847,1.0960,-0.1071,-0.4459,-0.1115,-0.1383,-0.4086,-0.1292,0.7259,4.7468,0.7700,0.0868,0.2332,0.0952,-0.4016,-1.5046,-0.3762,-0.1052,-0.2809,-0.0888,0.4244,3.2085,0.5205,0.1814,0.7313,0.2985,-0.0265,-0.1320,-0.0330,-0.0911,-0.3218,-0.1018,0.8523,6.9460,1.1268,0.2938,1.1571,0.4724,-0.4865,-1.5324,-0.3831,-0.6832,-1.4781,-0.4674,0.8689,-0.0782,-0.1077,0.7366,-0.1487,-0.1921,0.1196,-0.5533,-0.1449,0.4275,-0.0625,-0.2146,0.4777,-0.0082,1,0.8689,-0.0782,-0.1077,0.7366,-0.1487,-0.1921,0.1196,-0.5533,-0.1449,0.4275,-0.0625,-0.2146,0,0,high (microcap),pos skew,2006-2010
MomSeason06YrPlus,op,456,0.7464,6.1782,1.0022,72,0.3968,1.3353,0.5451,192,0.0797,0.3039,0.0760,120,-0.3248,-0.8894,-0.2813,1.1871,-8.8158,-3.7066,-22.1236,2008,1965,2002,Price,other,M2,seasonality,price,1.0000,EW,0.6800,6.1500,1_clear,Return seasonality years 6 to 10,0.6892,7.0049,1.1363,0.2390,0.9921,0.4050,0.1291,0.6780,0.1695,-0.1191,-0.4673,-0.1478,0.6589,4.9030,0.7954,-0.1164,-0.2925,-0.1194,0.2971,1.3915,0.3479,0.0621,0.2300,0.0727,0.5068,4.4006,0.7139,0.4766,1.7525,0.7154,0.2227,1.3768,0.3442,-0.0985,-0.4859,-0.1537,0.7512,6.3086,1.0234,0.0328,0.1080,0.0441,0.1500,0.5741,0.1435,-0.3250,-0.9058,-0.2864,0.5316,0.1068,-0.4351,0.3467,0.1873,-0.1729,-0.1766,0.4508,0.0942,0.9404,0.4394,-0.1943,0.3210,0.0439,1,0.5316,0.1068,-0.4351,0.3467,0.1873,-0.1729,-0.1766,0.4508,0.0942,0.9404,0.4394,-0.1943,0,0,mid,pos skew,2006-2010
MomSeason11YrPlus,op,456,0.7491,6.9363,1.1252,72,0.5283,1.8218,0.7437,192,0.1611,0.8114,0.2028,120,0.0630,0.2277,0.0720,0.6553,-5.4418,-2.6845,-9.0699,2008,1965,2002,Price,other,M2,seasonality,price,1.0000,EW,0.6600,6.4300,1_clear,Return seasonality years 11 to 15,0.6005,6.9456,1.1267,0.3571,1.7499,0.7144,0.1730,1.0599,0.2650,-0.0229,-0.1018,-0.0322,0.5772,4.5333,0.7354,0.0865,0.2593,0.1058,0.1680,0.9520,0.2380,-0.0374,-0.1534,-0.0485,0.3815,3.7523,0.6087,0.3540,1.6146,0.6592,0.0335,0.2231,0.0558,-0.0736,-0.3686,-0.1165,0.6049,5.6574,0.9178,0.2267,0.9300,0.3797,-0.0939,-0.4991,-0.1248,-0.3312,-1.3166,-0.4163,0.7053,0.2151,0.0841,0.5946,0.2880,-0.0381,0.1499,0.2911,-0.0649,0.9279,0.0878,-0.1929,0.4908,0.0387,1,0.7053,0.2151,0.0841,0.5946,0.2880,-0.0381,0.1499,0.2911,-0.0649,0.9279,0.0878,-0.1929,0,0,high (microcap),pos skew,2006-2010
MomSeason16YrPlus,op,456,0.5855,5.0472,0.8188,72,0.5743,2.0787,0.8486,192,0.4572,2.3393,0.5848,120,0.3869,1.5256,0.4824,1.4294,-7.4541,-3.2453,-13.8475,2008,1965,2002,Price,other,M2,seasonality,price,1.0000,EW,0.5200,4.5800,1_clear,Return seasonality years 16 to 20,0.4663,5.0905,0.8258,0.4906,2.6734,1.0914,0.3856,2.9240,0.7310,0.3918,2.1754,0.6879,0.2299,1.7383,0.2820,-0.2245,-0.6599,-0.2694,0.4047,2.2070,0.5517,0.2944,1.3766,0.4353,0.3948,3.6683,0.5951,0.5681,2.6983,1.1016,0.4421,2.7779,0.6945,0.2667,1.2233,0.3868,0.5513,4.5905,0.7447,0.5268,1.9815,0.8089,0.3174,1.4655,0.3664,0.2137,0.7331,0.2318,0.9809,0.7808,0.6608,1.0522,0.8269,0.8402,-0.9766,1.7602,1.2803,1.4391,1.1199,0.6756,0.3258,0.5069,1,0.9809,0.7808,0.6608,1.0522,0.8269,0.8402,-0.9766,1.7602,1.2803,1.4391,1.1199,0.6756,1,0,mid,pos skew,2006-2010
